order_id,order_date,customer_name,product,category,quantity,unit_price,total_amount,region
1,5/14/2024,  asad noor ,Smart Watch,Electronics,4,4500,18000,Central
2,12/1/2024,  sara mehmood ,Smart Watch,Electronics,3,4500,13500,East
3,2/6/2024,  anum ali ,Headphones,Electronics,3,2500,7500,
4,10/29/2024,  ali mehmood ,SNEAKERS,Footwear,2,3500,7000,Central
5,12/18/2024,  ayesha hassan ,T-Shirt,Fashion,5,800,4000,West
6,4/6/2024,  maham sheikh ,Mouse,Electronics,1,1200,1200,South
7,5/30/2024,  adeel hassan ,Smart Watch,Electronics,4,4500,18000,Central
8,7/23/2024,  shahzad ali ,SPORTS SHOES,Footwear,4,3200,12800,North
9,8/5/2024,  shahzad mehmood ,Laptop Stand,Accessories,4,2000,8000,South
10,9/21/2024,  ayesha ali ,Mouse,Electronics,3,1200,3600,East
11,9/5/2024,  anum raza ,SPORTS SHOES,Footwear,-3,3200,9600,North
12,2/5/2024,  shahzad ali ,HEADPHONES,Electronics,1,2500,2500,North
13,4/26/2024,  none ,LAPTOP STAND,Accessories,2,2000,4000,West
14,1/26/2024,  anum noor ,KEYBOARD,Electronics,4,1800,7200,West
15,10/18/2024,  asad noor ,Mouse,Electronics,3,1200,3600,
16,2/7/2024,  anum malik ,LAPTOP STAND,Accessories,2,2000,4000,North
17,4/1/2024,  maham raza ,Mouse,Electronics,5,1200,6000,South
18,2/2/2024,  anum ali ,T-SHIRT,Fashion,2,800,1600,South
19,7/23/2024,  ali hassan ,HANDBAG,Fashion,3,2800,8400,Central
20,7/28/2024,  maham ali ,T-Shirt,Fashion,1,800,800,North
21,8/19/2024,  ali raza ,SNEAKERS,Footwear,1,3500,3500,South
22,12/5/2024,  asad mehmood ,MOUSE,Electronics,4,1200,4800,South
23,1/12/2024,  adeel ali ,Mouse,Electronics,3,1200,3600,West
24,4/15/2024,  umer raza ,Handbag,Fashion,5,2800,14000,West
25,7/31/2024,  umer raza ,Sports Shoes,Footwear,5,3200,16000,East
26,1/15/2024,  maham ali ,Sports Shoes,Footwear,2,3200,6400,South
27,4/25/2024,  ali sheikh ,Keyboard,Electronics,1,1800,1800,Central
28,5/5/2024,  umer tariq ,Laptop Stand,Accessories,2,2000,4000,North
29,11/21/2024,  ayesha hassan ,Backpack,Fashion,3,1500,4500,
30,10/31/2024,  maham mehmood ,Keyboard,Electronics,1,1800,1800,South
31,3/7/2024,  adeel malik ,HANDBAG,Fashion,5,2800,14000,West
32,3/15/2024,  shahzad mehmood ,Backpack,Fashion,4,1500,6000,East
33,4/3/2024,  asad malik ,Keyboard,Electronics,2,1800,3600,West
34,10/31/2024,  asad mehmood ,SNEAKERS,Footwear,-4,3500,14000,East
